,n,augs,score,vocab
0,10,4,0.524,1929
1,10,8,0.605,2266
2,10,16,0.569,2827
3,10,32,0.581,3539
4,10,64,0.58,4424
5,50,4,0.632,5892
6,50,8,0.655,6916
7,50,16,0.663,8177
8,50,32,0.68,9528
9,50,64,0.676,11092
10,100,4,0.581,1890
11,100,8,0.604,2196
12,100,16,0.614,2738
13,100,32,0.638,3425
14,100,64,0.596,4277
15,500,4,0.645,5517
16,500,8,0.641,6484
17,500,16,0.688,7621
18,500,32,0.661,8915
19,500,64,0.692,10410
20,2000,4,0.659,13105
21,2000,8,0.687,14715
22,2000,16,0.662,16489
23,2000,32,0.689,18334
24,2000,64,0.684,20000
