,n,augs,score,vocab,runs
0,100.0,0.0,0.592,13.0,0.0
1,100.0,4.0,0.639,114.0,0.0
2,100.0,8.0,0.647,210.0,0.0
3,100.0,16.0,0.657,351.0,0.0
4,100.0,32.0,0.663,1238.0,0.0
5,100.0,64.0,0.659,1256.0,0.0
6,500.0,0.0,0.699,112.0,0.0
7,500.0,4.0,0.742,532.0,0.0
8,500.0,8.0,0.752,841.0,0.0
9,500.0,16.0,0.758,1381.0,0.0
10,500.0,32.0,0.758,3770.0,0.0
11,500.0,64.0,0.758,3896.0,0.0
12,2000.0,0.0,0.794,430.0,0.0
13,2000.0,4.0,0.814,1764.0,0.0
14,2000.0,8.0,0.813,2692.0,0.0
15,2000.0,16.0,0.817,4119.0,
16,2000.0,32.0,0.822,9371.0,
17,2000.0,64.0,0.817,9903.0,
