,percentage kept,size,score,vocab size base,vocab size final,time taken
0,1.0,10,0.776,180,544,4.357951700000285
1,0.95,10,0.786,180,541,8.680736000000252
2,0.9,10,0.771,180,541,12.653993299999911
3,0.85,10,0.724,180,564,16.364532600000075
4,0.8,10,0.663,180,541,19.118676999999934
5,0.75,10,0.641,180,557,21.702969700000267
6,1.0,50,0.814,943,1214,88.51864780000005
7,0.95,50,0.826,943,1205,161.12651460000006
8,0.9,50,0.801,943,1185,230.84747490000018
9,0.85,50,0.772,943,1172,297.65128920000006
10,0.8,50,0.75,943,1169,351.1806753999999
11,0.75,50,0.754,943,1140,387.79562609999994
12,1.0,100,0.745,1291,1369,10.423033499999747
13,0.95,100,0.762,1291,1352,19.41045099999974
14,0.9,100,0.775,1291,1345,26.91087749999997
15,0.85,100,0.753,1291,1328,33.52473439999994
16,0.8,100,0.741,1291,1318,38.94242299999996
17,0.75,100,0.738,1291,1265,43.592639399999825
18,1.0,500,0.81,3711,1381,129.43414510000002
19,0.95,500,0.821,3711,1385,179.31988629999978
20,0.9,500,0.818,3711,1407,218.15307209999992
21,0.85,500,0.803,3711,1514,252.97415590000037
22,0.8,500,0.803,3711,1826,286.62825239999984
23,0.75,500,0.81,3711,2244,312.8849458000004
24,1.0,2000,0.79,8966,1697,18.390212999999676
25,0.95,2000,0.814,8966,1738,25.936208899999656
26,0.9,2000,0.83,8966,1824,33.294170199999826
27,0.85,2000,0.835,8966,1896,39.2092646000001
28,0.8,2000,0.843,8966,1954,44.86072389999936
29,0.75,2000,0.848,8966,2199,49.549273199999334
