,n_base,n_aug,del_p,acc
0,10.0,9990.0,100.0,0.549
1,10.0,9990.0,95.0,0.735
2,10.0,9990.0,90.0,0.761
3,10.0,9990.0,85.0,0.758
4,10.0,9990.0,80.0,0.752
5,10.0,9990.0,75.0,0.768
6,10.0,9990.0,70.0,0.779
7,10.0,9990.0,65.0,0.784
8,10.0,9990.0,60.0,0.787
9,10.0,9990.0,55.0,0.789
10,10.0,9990.0,50.0,0.793
11,10.0,9990.0,45.0,0.785
12,10.0,9990.0,40.0,0.785
13,10.0,9990.0,35.0,0.789
14,10.0,9990.0,30.0,0.788
15,10.0,9990.0,25.0,0.784
16,10.0,9990.0,20.0,0.777
17,10.0,9990.0,15.0,0.782
18,10.0,9990.0,10.0,0.786
19,10.0,9990.0,5.0,0.777
20,10.0,9990.0,0.0,0.764
21,50.0,19950.0,100.0,0.708
22,50.0,19950.0,95.0,0.671
23,50.0,19950.0,90.0,0.71
24,50.0,19950.0,85.0,0.738
25,50.0,19950.0,80.0,0.759
26,50.0,19950.0,75.0,0.771
27,50.0,19950.0,70.0,0.786
28,50.0,19950.0,65.0,0.801
29,50.0,19950.0,60.0,0.802
30,50.0,19950.0,55.0,0.801
31,50.0,19950.0,50.0,0.804
32,50.0,19950.0,45.0,0.804
33,50.0,19950.0,40.0,0.799
34,50.0,19950.0,35.0,0.795
35,50.0,19950.0,30.0,0.789
36,50.0,19950.0,25.0,0.79
37,50.0,19950.0,20.0,0.785
38,50.0,19950.0,15.0,0.785
39,50.0,19950.0,10.0,0.775
40,50.0,19950.0,5.0,0.767
41,50.0,19950.0,0.0,0.754
