,n,augs,score,vocab,runs
0,100.0,0.0,0.702,1291.0,0.0
1,100.0,4.0,0.691,1757.0,0.0
2,100.0,8.0,0.696,2025.0,0.0
3,100.0,16.0,0.685,2535.0,0.0
4,100.0,32.0,0.676,3139.0,0.0
5,100.0,64.0,0.678,3922.0,0.0
6,500.0,0.0,0.79,3711.0,0.0
7,500.0,4.0,0.788,5112.0,0.0
8,500.0,8.0,0.786,5985.0,0.0
9,500.0,16.0,0.786,7022.0,0.0
10,500.0,32.0,0.784,8217.0,0.0
11,500.0,64.0,0.781,9646.0,0.0
12,2000.0,0.0,0.84,8966.0,0.0
13,2000.0,4.0,0.843,11801.0,0.0
14,2000.0,8.0,0.845,13323.0,0.0
15,2000.0,16.0,0.844,14919.0,
16,2000.0,32.0,0.842,16689.0,
17,2000.0,64.0,0.839,18307.0,
