,n_base,n_aug,del_p,acc
0,2000.0,31240.0,100.0,0.838
1,2000.0,31240.0,95.0,0.835
2,2000.0,31240.0,90.0,0.833
3,2000.0,31240.0,85.0,0.836
4,2000.0,31240.0,80.0,0.838
5,2000.0,31240.0,75.0,0.835
6,2000.0,31240.0,70.0,0.833
7,2000.0,31240.0,65.0,0.832
8,2000.0,31240.0,60.0,0.831
9,2000.0,31240.0,55.0,0.829
10,2000.0,31240.0,50.0,0.828
11,2000.0,31240.0,45.0,0.826
12,2000.0,31240.0,40.0,0.818
13,2000.0,31240.0,35.0,0.816
14,2000.0,31240.0,30.0,0.814
15,2000.0,31240.0,25.0,0.81
16,2000.0,31240.0,20.0,0.815
17,2000.0,31240.0,15.0,0.811
18,2000.0,31240.0,10.0,0.82
19,2000.0,31240.0,5.0,0.821
20,2000.0,31240.0,0.0,0.805
