,n_base,n_aug,del_p,acc
0,2000.0,31240.0,100.0,0.839
1,2000.0,31240.0,95.0,0.844
2,2000.0,31240.0,90.0,0.845
3,2000.0,31240.0,85.0,0.844
4,2000.0,31240.0,80.0,0.844
5,2000.0,31240.0,75.0,0.845
6,2000.0,31240.0,70.0,0.843
7,2000.0,31240.0,65.0,0.84
8,2000.0,31240.0,60.0,0.84
9,2000.0,31240.0,55.0,0.836
10,2000.0,31240.0,50.0,0.834
11,2000.0,31240.0,45.0,0.826
12,2000.0,31240.0,40.0,0.828
13,2000.0,31240.0,35.0,0.824
14,2000.0,31240.0,30.0,0.818
15,2000.0,31240.0,25.0,0.813
16,2000.0,31240.0,20.0,0.815
17,2000.0,31240.0,15.0,0.809
18,2000.0,31240.0,10.0,0.806
19,2000.0,31240.0,5.0,0.802
20,2000.0,31240.0,0.0,0.805
21,500.0,50000.0,100.0,0.792
22,500.0,50000.0,95.0,0.816
23,500.0,50000.0,90.0,0.837
24,500.0,50000.0,85.0,0.834
25,500.0,50000.0,80.0,0.833
26,500.0,50000.0,75.0,0.835
27,500.0,50000.0,70.0,0.834
28,500.0,50000.0,65.0,0.836
29,500.0,50000.0,60.0,0.832
30,500.0,50000.0,55.0,0.829
31,500.0,50000.0,50.0,0.825
32,500.0,50000.0,45.0,0.82
33,500.0,50000.0,40.0,0.814
34,500.0,50000.0,35.0,0.808
35,500.0,50000.0,30.0,0.803
36,500.0,50000.0,25.0,0.8
37,500.0,50000.0,20.0,0.796
38,500.0,50000.0,15.0,0.794
39,500.0,50000.0,10.0,0.791
40,500.0,50000.0,5.0,0.796
41,500.0,50000.0,0.0,0.802
